"OrderItemID","OrderID","ProductID","Quantity"
1000,1128,6,46
1001,1186,16,31
1002,1147,4,39
1003,1050,15,44
1004,1174,13,33
1005,1178,3,8
1006,1006,5,12
1007,1097,9,28
1008,1139,11,12
1010,1105,13,29
1011,1053,8,4
1012,1137,5,25
1013,1074,3,14
1014,1025,9,39
1015,1152,5,23
1016,1059,9,3
1017,1120,10,1
1018,1061,14,45
1019,1011,14,16
1020,1118,1,47
1021,1079,8,39
1022,1081,2,3
1023,1089,10,38
1024,1197,15,31
1025,1120,15,26
1026,1177,10,32
1027,1190,13,29
1028,1048,6,12
1029,1023,6,19
1030,1164,8,40
1031,1055,13,16
1032,1009,14,17
1033,1046,9,42
1034,1131,6,23
1035,1008,5,34
1036,1016,5,25
1037,1120,1,34
1038,1130,1,9
1039,1163,9,41
1040,1093,7,1
1041,1094,7,30
1042,1014,1,30
1043,1038,13,20
1044,1179,7,36
1045,1115,11,41
1046,1009,8,18
1047,1170,13,2
1048,1011,10,2
1049,1064,2,22
1050,1029,11,27
